time_stamp	animal	time1	time2	tampl	tdur	tpos	tbeg	tsize
20170527_114826	01442	30.00	45.00	27.300	0.071	44.391	44.389	4.882
20170527_114826	01442	30.00	45.00	30.300	0.076	41.303	41.268	4.882
20170527_114826	01442	30.00	45.00	30.800	0.160	42.772	42.750	4.882
20170527_114826	01442	45.00	60.00	38.600	4.794	50.923	49.525	15.000
20170527_114826	01442	45.00	60.00	46.300	4.057	57.333	55.426	15.000
20170527_114826	01442	45.00	60.00	54.100	3.662	46.562	45.148	15.000
20170527_114826	01442	75.00	90.00	28.000	0.491	88.145	88.133	15.000
20170527_114826	01442	75.00	90.00	34.000	1.944	80.399	79.784	15.000
20170527_114826	01442	90.00	105.00	31.200	0.131	104.596	104.580	15.000
20170527_114826	01442	90.00	105.00	33.400	0.690	100.855	100.695	15.000
20170527_114826	01442	90.00	105.00	59.500	6.604	92.473	90.351	15.000
20170527_114826	01478	120.00	135.00	31.400	0.662	127.708	127.525	15.000
20170527_114826	01478	135.00	150.00	28.800	0.074	143.272	143.266	15.000
20170527_114826	01478	30.00	45.00	NA	NA	NA	NA	3.537
20170527_114826	01478	45.00	60.00	180.000	8.773	50.427	45.889	15.000
20170527_114826	01478	45.00	60.00	41.700	1.315	56.000	55.309	15.000
20170527_114826	01478	75.00	90.00	28.500	0.049	86.340	86.333	15.000
20170527_114826	01478	90.00	105.00	180.000	9.896	92.718	87.063	15.000
20170527_114826	01478	90.00	105.00	47.300	1.988	104.930	103.828	15.000
20170527_114826	01478	90.00	105.00	75.900	2.519	101.731	100.431	15.000
20170527_114826	01486	120.00	135.00	NA	NA	NA	NA	15.000
20170527_114826	01486	135.00	150.00	180.000	4.000	144.242	142.199	15.000
20170527_114826	01486	135.00	150.00	39.400	1.282	136.608	136.093	15.000
20170527_114826	01486	135.00	150.00	44.700	1.469	139.914	139.065	15.000
20170527_114826	01486	30.00	45.00	NA	NA	NA	NA	3.297
20170527_114826	01486	45.00	60.00	180.000	16.401	53.774	42.963	15.000
20170527_114826	01486	75.00	90.00	NA	NA	NA	NA	15.000
20170527_114826	01486	90.00	105.00	180.000	1.840	101.568	101.066	15.000
20170527_114826	01486	90.00	105.00	29.100	0.153	103.925	103.890	15.000
20170527_114826	01486	90.00	105.00	29.400	0.283	92.305	92.201	15.000
20170527_114826	01486	90.00	105.00	31.100	0.303	91.266	91.236	15.000
20170527_114826	01496	120.00	135.00	NA	NA	NA	NA	15.000
20170527_114826	01496	135.00	150.00	27.400	0.614	139.757	139.735	15.000
20170527_114826	01496	135.00	150.00	38.600	4.062	143.522	141.365	15.000
20170527_114826	01496	135.00	150.00	42.000	0.075	148.369	148.339	15.000
20170527_114826	01496	30.00	45.00	180.000	6.601	42.851	44.386	2.966
20170527_114826	01496	45.00	60.00	NA	NA	NA	NA	15.000
20170527_114826	01496	75.00	90.00	NA	NA	NA	NA	15.000
20170527_114826	01496	90.00	105.00	28.200	0.038	104.851	104.845	15.000
20170527_114826	01496	90.00	105.00	33.400	0.246	91.185	91.009	15.000
20170527_114826	01496	90.00	105.00	38.800	2.676	102.710	100.587	15.000
20170527_114826	01496	90.00	105.00	51.600	0.356	96.510	96.439	15.000
20170527_114826	01503	120.00	135.00	NA	NA	NA	NA	10.371
20170527_114826	01503	30.00	45.00	NA	NA	NA	NA	2.630
20170527_114826	01503	45.00	60.00	180.000	1.918	56.998	56.631	15.000
20170527_114826	01503	45.00	60.00	180.000	8.580	50.668	45.569	15.000
20170527_114826	01503	45.00	60.00	28.200	0.490	55.265	55.250	15.000
20170527_114826	01503	75.00	90.00	31.300	0.078	77.158	77.137	15.000
20170527_114826	01503	75.00	90.00	32.100	0.808	80.085	79.815	15.000
20170527_114826	01503	90.00	105.00	39.100	2.883	91.976	90.657	15.000
20170527_114826	01503	90.00	105.00	39.200	0.279	100.276	100.228	15.000
20170527_114826	01503	90.00	105.00	44.800	1.236	103.355	103.182	15.000
20170527_114826	01561	120.00	135.00	NA	NA	NA	NA	15.000
20170527_114826	01561	135.00	150.00	32.600	0.706	137.661	137.441	15.000
20170527_114826	01561	135.00	150.00	35.300	1.455	141.210	140.474	15.000
20170527_114826	01561	45.00	60.00	180.000	3.588	53.199	52.870	14.808
20170527_114826	01561	45.00	60.00	56.500	3.118	47.315	46.939	14.808
20170527_114826	01561	45.00	60.00	63.500	0.119	58.424	58.371	14.808
20170527_114826	01561	75.00	90.00	NA	NA	NA	NA	15.000
20170527_114826	01561	90.00	105.00	180.000	4.393	94.267	90.916	15.000
20170527_114826	01569	120.00	135.00	NA	NA	NA	NA	8.713
20170527_114826	01569	45.00	60.00	NA	NA	NA	NA	14.488
20170527_114826	01569	75.00	90.00	NA	NA	NA	NA	15.000
20170527_114826	01569	90.00	105.00	NA	NA	NA	NA	15.000
20170527_114826	01636	120.00	135.00	NA	NA	NA	NA	15.000
20170527_114826	01636	135.00	150.00	NA	NA	NA	NA	15.000
20170527_114826	01636	45.00	60.00	NA	NA	NA	NA	9.820
20170527_114826	01636	75.00	90.00	NA	NA	NA	NA	15.000
20170527_114826	01636	90.00	105.00	NA	NA	NA	NA	15.000
20170527_114826	01660	120.00	135.00	NA	NA	NA	NA	15.000
20170527_114826	01660	135.00	150.00	NA	NA	NA	NA	15.000
20170527_114826	01660	45.00	60.00	NA	NA	NA	NA	8.502
20170527_114826	01660	75.00	90.00	NA	NA	NA	NA	15.000
20170527_114826	01660	90.00	105.00	NA	NA	NA	NA	15.000
20170527_114826	01703	120.00	135.00	41.400	0.148	134.525	134.429	15.000
20170527_114826	01703	120.00	135.00	41.800	0.854	132.341	132.079	15.000
20170527_114826	01703	135.00	150.00	120.200	4.252	143.036	140.435	15.000
20170527_114826	01703	135.00	150.00	180.000	-68.329	143.036	140.435	15.000
20170527_114826	01703	135.00	150.00	63.000	2.094	137.903	137.718	15.000
20170527_114826	01703	135.00	150.00	67.600	1.084	136.138	135.208	15.000
20170527_114826	01703	45.00	60.00	28.000	0.308	57.417	57.393	5.319
20170527_114826	01703	75.00	90.00	103.800	2.337	88.474	86.696	15.000
20170527_114826	01703	75.00	90.00	180.000	2.145	81.653	80.538	15.000
20170527_114826	01703	75.00	90.00	55.300	0.247	85.695	85.638	15.000
20170527_114826	01703	75.00	90.00	58.500	0.153	79.368	79.281	15.000
20170527_114826	01703	90.00	105.00	180.000	0.693	101.821	101.615	15.000
20170527_114826	01703	90.00	105.00	180.000	-30.201	102.794	102.308	15.000
20170527_114826	01704	120.00	135.00	NA	NA	NA	NA	15.000
20170527_114826	01704	135.00	150.00	NA	NA	NA	NA	9.633
20170527_114826	01704	45.00	60.00	NA	NA	NA	NA	5.230
20170527_114826	01704	75.00	90.00	NA	NA	NA	NA	15.000
20170527_114826	01704	90.00	105.00	NA	NA	NA	NA	15.000
20170527_114826	01750	120.00	135.00	28.000	0.041	122.818	122.814	15.000
20170527_114826	01750	120.00	135.00	28.100	0.052	132.818	132.798	15.000
20170527_114826	01750	135.00	150.00	180.000	3.331	138.139	137.548	15.000
20170527_114826	01750	135.00	150.00	37.000	2.427	143.762	143.489	15.000
20170527_114826	01750	135.00	150.00	74.700	1.785	135.256	134.867	15.000
20170527_114826	01750	45.00	60.00	NA	NA	NA	NA	1.991
20170527_114826	01750	75.00	90.00	NA	NA	NA	NA	15.000
20170527_114826	01750	90.00	105.00	29.200	0.734	102.952	102.372	15.000
20170527_114826	01750	90.00	105.00	38.300	0.097	103.925	103.883	15.000
20170527_114826	01835	120.00	135.00	NA	NA	NA	NA	15.000
20170527_114826	01835	135.00	150.00	27.700	0.153	137.584	137.502	15.000
20170527_114826	01835	135.00	150.00	30.000	0.171	136.218	136.132	15.000
20170527_114826	01835	135.00	150.00	34.000	0.506	139.914	139.878	15.000
20170527_114826	01835	75.00	90.00	27.100	0.041	87.328	87.328	15.000
20170527_114826	01835	75.00	90.00	30.300	0.145	85.777	85.709	15.000
20170527_114826	01835	75.00	90.00	30.500	0.050	80.630	80.617	15.000
20170527_114826	01835	90.00	105.00	180.000	2.560	96.902	96.748	15.000
20170527_114826	01835	90.00	105.00	27.600	0.147	100.121	100.113	15.000
20170527_114826	01835	90.00	105.00	27.600	0.275	93.447	93.433	15.000
20170527_114826	01835	90.00	105.00	34.700	0.159	92.220	92.128	15.000
20170527_114826	01836	120.00	135.00	NA	NA	NA	NA	15.000
20170527_114826	01836	135.00	150.00	46.300	3.841	138.538	137.926	15.000
20170527_114826	01836	135.00	150.00	52.500	1.279	136.608	135.722	15.000
20170527_114826	01836	75.00	90.00	32.500	0.109	79.368	79.331	15.000
20170527_114826	01836	75.00	90.00	34.000	0.118	80.166	80.121	15.000
20170527_114826	01836	90.00	105.00	180.000	6.166	97.063	92.563	15.000
20170527_114826	01836	90.00	105.00	27.100	0.144	103.521	103.519	15.000
20170527_114826	01836	90.00	105.00	30.300	0.849	91.185	90.923	15.000
20170527_114826	01843	120.00	135.00	NA	NA	NA	NA	15.000
20170527_114826	01843	135.00	150.00	NA	NA	NA	NA	9.633
20170527_114826	01843	75.00	90.00	NA	NA	NA	NA	15.000
20170527_114826	01843	90.00	105.00	NA	NA	NA	NA	15.000
20170527_114826	01849	120.00	135.00	NA	NA	NA	NA	15.000
20170527_114826	01849	135.00	150.00	NA	NA	NA	NA	15.000
20170527_114826	01849	75.00	90.00	NA	NA	NA	NA	15.000
20170527_114826	01849	90.00	105.00	NA	NA	NA	NA	15.000
20170527_114826	01855	120.00	135.00	NA	NA	NA	NA	15.000
20170527_114826	01855	135.00	150.00	30.900	0.621	136.853	136.602	5.487
20170527_114826	01855	75.00	90.00	27.200	0.041	87.413	87.412	15.000
20170527_114826	01855	90.00	105.00	180.000	5.500	104.341	101.040	15.000
20170527_114826	01862	120.00	135.00	28.200	0.835	120.171	119.410	7.708
20170527_114826	01862	75.00	90.00	31.200	0.131	83.901	83.883	15.000
20170527_114826	01862	75.00	90.00	31.600	0.212	88.733	88.714	15.000
20170527_114826	01862	90.00	105.00	NA	NA	NA	NA	15.000
20170527_114826	01906	120.00	135.00	NA	NA	NA	NA	15.000
20170527_114826	01906	135.00	150.00	NA	NA	NA	NA	5.163
20170527_114826	01906	75.00	90.00	NA	NA	NA	NA	15.000
20170527_114826	01906	90.00	105.00	NA	NA	NA	NA	15.000
20170527_114826	01922	120.00	135.00	NA	NA	NA	NA	15.000
20170527_114826	01922	135.00	150.00	NA	NA	NA	NA	15.000
20170527_114826	01922	75.00	90.00	NA	NA	NA	NA	15.000
20170527_114826	01922	90.00	105.00	NA	NA	NA	NA	15.000
20170527_114826	01940	120.00	135.00	NA	NA	NA	NA	15.000
20170527_114826	01940	135.00	150.00	180.000	4.262	139.364	136.285	10.120
20170527_114826	01940	135.00	150.00	59.400	-46.479	144.709	142.514	10.120
20170527_114826	01940	75.00	90.00	NA	NA	NA	NA	15.000
20170527_114826	01940	90.00	105.00	37.200	4.707	103.035	101.932	15.000
20170527_114826	01987	120.00	135.00	40.900	2.496	134.358	134.187	15.000
20170527_114826	01987	135.00	150.00	35.400	1.484	145.769	145.168	15.000
20170527_114826	01987	75.00	90.00	NA	NA	NA	NA	15.000
20170527_114826	01987	90.00	105.00	180.000	4.535	101.497	101.366	15.000
20170527_114826	01987	90.00	105.00	31.300	0.812	92.636	92.460	15.000
20170527_114826	01987	90.00	105.00	38.900	3.927	98.976	95.403	15.000
20170527_114826	01988	120.00	135.00	NA	NA	NA	NA	15.000
20170527_114826	01988	135.00	150.00	180.000	2.499	137.502	137.085	15.000
20170527_114826	01988	135.00	150.00	27.000	0.212	136.218	136.218	15.000
20170527_114826	01988	135.00	150.00	37.100	2.051	141.060	140.631	15.000
20170527_114826	01988	135.00	150.00	41.600	0.545	145.769	145.520	15.000
20170527_114826	01988	75.00	90.00	NA	NA	NA	NA	15.000
20170527_114826	01988	90.00	105.00	40.100	2.365	102.381	102.206	15.000
20170527_114826	01988	90.00	105.00	41.400	3.215	91.660	91.056	15.000
20170527_114826	01988	90.00	105.00	45.700	3.681	98.889	95.529	15.000
20170527_114826	01988	90.00	105.00	48.700	1.029	100.769	100.294	15.000
20170527_114826	01990	120.00	135.00	29.500	0.834	132.222	131.806	15.000
20170527_114826	01990	135.00	150.00	35.200	1.764	137.769	136.887	15.000
20170527_114826	01990	135.00	150.00	40.100	2.366	148.187	147.004	15.000
20170527_114826	01990	75.00	90.00	NA	NA	NA	NA	15.000
20170527_114826	01990	90.00	105.00	27.800	0.112	98.747	98.691	15.000
20170527_114826	01990	90.00	105.00	33.400	1.043	104.112	103.590	15.000
20170527_114826	01990	90.00	105.00	40.800	3.043	94.506	92.985	15.000
20170527_114826	01990	90.00	105.00	44.500	2.265	101.189	100.057	15.000
20170527_114826	02049	120.00	135.00	NA	NA	NA	NA	15.000
20170527_114826	02049	135.00	150.00	180.000	34.405	135.572	112.763	15.000
20170527_114826	02049	75.00	90.00	NA	NA	NA	NA	12.252
20170527_114826	02049	90.00	105.00	33.400	0.849	104.002	103.932	15.000
20170527_114826	02097	120.00	135.00	NA	NA	NA	NA	15.000
20170527_114826	02097	135.00	150.00	NA	NA	NA	NA	15.000
20170527_114826	02097	75.00	90.00	NA	NA	NA	NA	8.347
20170527_114826	02097	90.00	105.00	NA	NA	NA	NA	15.000
20170527_114826	02105	120.00	135.00	NA	NA	NA	NA	15.000
20170527_114826	02105	135.00	150.00	NA	NA	NA	NA	15.000
20170527_114826	02105	75.00	90.00	31.500	0.064	86.848	86.816	8.025
20170527_114826	02105	90.00	105.00	NA	NA	NA	NA	15.000
20170527_114826	02106	120.00	135.00	NA	NA	NA	NA	15.000
20170527_114826	02106	135.00	150.00	NA	NA	NA	NA	15.000
20170527_114826	02106	75.00	90.00	NA	NA	NA	NA	8.025
20170527_114826	02106	90.00	105.00	58.600	-74.327	93.210	170.521	15.000
20170527_114826	02123	120.00	135.00	28.700	0.996	120.348	119.924	15.000
20170527_114826	02123	120.00	135.00	31.900	0.800	127.304	127.200	15.000
20170527_114826	02123	135.00	150.00	180.000	2.991	139.994	137.952	15.000
20170527_114826	02123	135.00	150.00	29.600	0.677	145.199	145.116	15.000
20170527_114826	02123	135.00	150.00	32.500	0.335	136.138	136.074	15.000
20170527_114826	02123	75.00	90.00	NA	NA	NA	NA	5.778
20170527_114826	02123	90.00	105.00	180.000	4.163	103.677	102.752	15.000
20170527_114826	02123	90.00	105.00	33.800	0.661	100.439	100.186	15.000
20170527_114826	02123	90.00	105.00	39.500	2.438	95.380	95.319	15.000
20170527_114826	02132	120.00	135.00	45.400	0.982	130.292	129.537	15.000
20170527_114826	02132	120.00	135.00	71.400	6.611	120.921	119.494	15.000
20170527_114826	02132	120.00	135.00	81.000	1.879	127.708	126.751	15.000
20170527_114826	02132	135.00	150.00	180.000	3.238	137.502	135.930	15.000
20170527_114826	02132	135.00	150.00	27.600	0.058	143.440	143.435	15.000
20170527_114826	02132	135.00	150.00	32.300	0.475	135.004	134.813	15.000
20170527_114826	02132	135.00	150.00	62.300	3.042	147.825	146.915	15.000
20170527_114826	02132	75.00	90.00	46.600	0.664	89.557	88.965	4.223
20170527_114826	02132	90.00	105.00	180.000	1.307	103.195	102.734	15.000
20170527_114826	02132	90.00	105.00	31.300	0.109	90.452	90.422	15.000
20170527_114826	02132	90.00	105.00	33.400	0.460	91.338	91.270	15.000
20170527_114826	02132	90.00	105.00	43.700	0.782	94.267	94.228	15.000
20170527_114826	02140	120.00	135.00	64.400	3.897	120.759	120.395	15.000
20170527_114826	02140	120.00	135.00	73.600	15.981	125.257	124.985	15.000
20170527_114826	02140	135.00	150.00	180.000	-30.350	139.194	124.985	9.633
20170527_114826	02140	135.00	150.00	33.000	0.654	142.235	141.665	9.633
20170527_114826	02140	135.00	150.00	70.900	0.134	143.036	142.975	9.633
20170527_114826	02140	75.00	90.00	NA	NA	NA	NA	2.264
20170527_114826	02140	90.00	105.00	180.000	0.775	104.768	103.993	15.000
20170527_114826	02140	90.00	105.00	180.000	2.046	98.400	97.530	15.000
20170527_114826	02140	90.00	105.00	180.000	-8.045	104.768	104.768	15.000
20170527_114826	02140	90.00	105.00	39.400	1.511	93.698	93.125	15.000
20170527_114826	02140	90.00	105.00	41.600	1.272	95.951	95.451	15.000
20170527_114826	02141	120.00	135.00	NA	NA	NA	NA	15.000
20170527_114826	02141	135.00	150.00	31.800	0.707	140.487	140.113	15.000
20170527_114826	02141	75.00	90.00	NA	NA	NA	NA	2.264
20170527_114826	02141	90.00	105.00	180.000	2.490	93.210	91.379	15.000
20170527_114826	02141	90.00	105.00	42.500	0.352	96.986	96.151	15.000
20170527_114826	02153	120.00	135.00	38.600	1.560	123.995	123.950	15.000
20170527_114826	02153	135.00	150.00	180.000	5.134	139.435	137.408	15.000
20170527_114826	02153	75.00	90.00	NA	NA	NA	NA	0.685
20170527_114826	02153	90.00	105.00	NA	NA	NA	NA	15.000
20170527_114826	02155	120.00	135.00	NA	NA	NA	NA	15.000
20170527_114826	02155	135.00	150.00	180.000	6.663	142.319	141.559	15.000
20170527_114826	02155	135.00	150.00	39.300	2.722	138.706	138.220	15.000
20170527_114826	02155	75.00	90.00	NA	NA	NA	NA	0.281
20170527_114826	02155	90.00	105.00	52.300	2.286	96.824	96.555	15.000
20170527_114826	02155	90.00	105.00	73.800	3.391	94.821	92.472	15.000
20170527_114826	02215	120.00	135.00	NA	NA	NA	NA	15.000
20170527_114826	02215	135.00	150.00	180.000	3.024	146.621	144.670	15.000
20170527_114826	02215	135.00	150.00	180.000	3.229	137.426	136.601	15.000
20170527_114826	02215	90.00	105.00	27.200	0.163	101.013	101.010	8.014
20170527_114826	02215	90.00	105.00	30.500	0.497	102.060	101.962	8.014
20170527_114826	02248	120.00	135.00	NA	NA	NA	NA	15.000
20170527_114826	02248	135.00	150.00	32.100	1.155	142.953	142.376	15.000
20170527_114826	02248	135.00	150.00	32.700	1.471	137.937	137.201	15.000
20170527_114826	02248	135.00	150.00	33.800	1.344	140.147	139.475	15.000
20170527_114826	02248	90.00	105.00	NA	NA	NA	NA	1.965
20170527_114826	02294	120.00	135.00	NA	NA	NA	NA	15.000
20170527_114826	02294	135.00	150.00	NA	NA	NA	NA	15.000
20170527_114826	02296	120.00	135.00	NA	NA	NA	NA	15.000
20170527_114826	02296	135.00	150.00	180.000	7.860	145.120	139.597	15.000
20170527_114826	02297	120.00	135.00	NA	NA	NA	NA	15.000
20170527_114826	02297	135.00	150.00	36.000	1.373	149.866	149.180	15.000
20170527_114826	02297	135.00	150.00	46.600	3.931	142.759	140.793	15.000
20170527_114826	02303	120.00	135.00	NA	NA	NA	NA	15.000
20170527_114826	02303	135.00	150.00	31.600	0.305	137.623	137.471	15.000
20170527_114826	02303	135.00	150.00	40.800	1.075	141.028	140.491	15.000
20170527_114826	02303	135.00	150.00	41.200	1.338	143.521	142.852	15.000
20170527_114826	02304	120.00	135.00	52.800	0.357	126.891	126.602	15.000
20170527_114826	02304	135.00	150.00	180.000	1.916	144.964	144.075	15.000
20170527_114826	02304	135.00	150.00	27.000	0.156	138.623	138.623	15.000
20170527_114826	02304	135.00	150.00	67.900	2.644	141.672	139.898	15.000
20170527_114826	02323	120.00	135.00	NA	NA	NA	NA	15.000
20170527_114826	02323	135.00	150.00	180.000	7.971	148.059	141.585	15.000
20170527_114826	02323	135.00	150.00	37.100	2.081	137.661	136.252	15.000
20170527_114826	02327	120.00	135.00	35.800	0.911	131.713	131.257	15.000
20170527_114826	02327	135.00	150.00	37.700	0.676	136.592	136.254	2.584
20170527_114826	02334	120.00	135.00	29.600	0.611	128.888	128.844	15.000
20170527_114826	02334	135.00	150.00	180.000	2.158	136.608	135.970	15.000
20170527_114826	02334	135.00	150.00	32.600	1.175	149.091	148.798	15.000
20170527_114826	02334	135.00	150.00	46.500	4.877	140.902	138.839	15.000
20170527_114826	02353	120.00	135.00	NA	NA	NA	NA	15.000
20170527_114826	02353	135.00	150.00	180.000	5.591	146.621	146.160	15.000
20170527_114826	02353	135.00	150.00	29.600	0.695	139.364	138.860	15.000
20170527_114826	02353	135.00	150.00	46.000	0.842	137.584	136.972	15.000
20170527_114826	02354	120.00	135.00	NA	NA	NA	NA	15.000
20170527_114826	02354	135.00	150.00	NA	NA	NA	NA	8.036
20170527_114826	02364	120.00	135.00	NA	NA	NA	NA	15.000
20170527_114826	02364	135.00	150.00	27.500	0.137	143.412	143.344	15.000
20170527_114826	02364	135.00	150.00	27.700	0.281	145.817	145.676	15.000
20170527_114826	02364	135.00	150.00	29.200	0.042	142.493	142.472	15.000
20170527_114826	02385	120.00	135.00	28.900	0.367	125.514	125.502	15.000
20170527_114826	02385	120.00	135.00	29.700	0.813	132.583	132.496	15.000
20170527_114826	02385	120.00	135.00	32.200	0.690	129.298	129.245	15.000
20170527_114826	02385	135.00	150.00	180.000	1.252	146.390	146.144	15.000
20170527_114826	02385	135.00	150.00	180.000	4.505	138.706	135.939	15.000
20170527_114826	02386	120.00	135.00	NA	NA	NA	NA	15.000
20170527_114826	02386	135.00	150.00	NA	NA	NA	NA	15.000
20170527_114826	02401	120.00	135.00	180.000	14.261	125.348	121.292	15.000
20170527_114826	02401	135.00	150.00	180.000	3.181	137.738	136.233	15.000
20170527_114826	02401	135.00	150.00	61.500	0.275	149.416	149.356	15.000
20170527_114826	02402	120.00	135.00	180.000	9.387	121.501	120.784	15.000
20170527_114826	02402	135.00	150.00	180.000	21.206	136.768	130.946	15.000
20170527_114826	02413	120.00	135.00	NA	NA	NA	NA	15.000
20170527_114826	02413	135.00	150.00	NA	NA	NA	NA	15.000
20170527_114826	02417	120.00	135.00	NA	NA	NA	NA	15.000
20170527_114826	02417	135.00	150.00	29.000	0.123	136.694	136.632	4.834
20170527_114826	02424	120.00	135.00	NA	NA	NA	NA	10.371
20170527_114826	02427	120.00	135.00	40.200	0.496	126.932	126.684	15.000
20170527_114826	02427	120.00	135.00	54.800	0.107	125.840	125.786	15.000
20170527_114826	02427	135.00	150.00	39.500	2.718	140.059	138.699	15.000
20170527_114826	02427	135.00	150.00	40.900	0.792	135.609	135.213	15.000
20170527_114826	02428	120.00	135.00	180.000	0.475	127.304	126.902	13.384
20170527_114826	02428	120.00	135.00	180.000	1.387	130.048	129.987	13.384
20170527_114826	02428	120.00	135.00	37.400	0.655	133.056	132.482	13.384
20170527_114826	02428	120.00	135.00	45.400	0.115	124.160	124.111	13.384
20170527_114826	02428	120.00	135.00	74.700	0.586	125.681	125.164	13.384
20170527_114826	02430	120.00	135.00	NA	NA	NA	NA	15.000
20170527_114826	02430	135.00	150.00	NA	NA	NA	NA	15.000
20170527_114826	02433	120.00	135.00	NA	NA	NA	NA	15.000
20170527_114826	02433	135.00	150.00	180.000	1.666	137.342	136.540	15.000
20170527_114826	02433	135.00	150.00	180.000	4.235	141.597	139.129	15.000
20170527_114826	02449	120.00	135.00	NA	NA	NA	NA	13.661
20170527_114826	02449	135.00	150.00	NA	NA	NA	NA	15.000
20170527_114826	02461	120.00	135.00	NA	NA	NA	NA	11.498
20170527_114826	02461	135.00	150.00	180.000	8.174	141.672	136.053	15.000
20170527_114826	02461	135.00	150.00	34.100	0.863	148.525	148.219	15.000
20170527_114826	02464	120.00	135.00	NA	NA	NA	NA	10.670
